"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Unable to add the user info as unauthorized user","tests","Fri May 01 22:05:24 UTC 2026","passed","Fri May 01 22:05:24 UTC 2026","TestUserInfo","test_user_info","",""
"","59","Can not create user with existing username","tests","Fri May 01 22:05:23 UTC 2026","passed","Fri May 01 22:05:24 UTC 2026","TestRegister","test_register","",""
"","7","Unable to update the user info as unauthorized user","tests","Fri May 01 22:05:25 UTC 2026","passed","Fri May 01 22:05:25 UTC 2026","TestUserInfo","test_user_info","",""
"","11","Unauthorized user can not add a store","tests","Fri May 01 22:05:23 UTC 2026","passed","Fri May 01 22:05:23 UTC 2026","TestStore","test_store","",""
"","65","Can add a new store","tests","Fri May 01 22:05:23 UTC 2026","passed","Fri May 01 22:05:24 UTC 2026","TestStore","test_store","",""
"","32","Can edit item info","tests","Fri May 01 22:05:24 UTC 2026","failed","Fri May 01 22:05:24 UTC 2026","TestStoreItem","test_store_item","",""
"","14","Unable to create user if any of the required fields are missing","tests","Fri May 01 22:05:23 UTC 2026","passed","Fri May 01 22:05:23 UTC 2026","TestRegister","test_register","",""
"","9","Unauthorized user can not get the store info","tests","Fri May 01 22:05:24 UTC 2026","passed","Fri May 01 22:05:24 UTC 2026","TestStore","test_store","",""
"","11","Cannot login with wrong email or password","tests","Fri May 01 22:05:23 UTC 2026","passed","Fri May 01 22:05:23 UTC 2026","TestAuth","test_auth","",""
"","8","Unable to get the user info as unauthorized user","tests","Fri May 01 22:05:25 UTC 2026","passed","Fri May 01 22:05:25 UTC 2026","TestUserInfo","test_user_info","",""
"","10","Cannot login with empty required fields","tests","Fri May 01 22:05:23 UTC 2026","passed","Fri May 01 22:05:23 UTC 2026","TestAuth","test_auth","",""
"","7","Cannot login with empty required fields","tests","Fri May 01 22:05:23 UTC 2026","passed","Fri May 01 22:05:23 UTC 2026","TestAuth","test_auth","",""
"","10","Can login with valid credentials","tests","Fri May 01 22:05:23 UTC 2026","passed","Fri May 01 22:05:23 UTC 2026","TestAuth","test_auth","",""
"","12","Can get store info","tests","Fri May 01 22:05:24 UTC 2026","passed","Fri May 01 22:05:24 UTC 2026","TestStore","test_store","",""
"","13","Check the error message when deleting the non_existent user info","tests","Fri May 01 22:05:25 UTC 2026","passed","Fri May 01 22:05:25 UTC 2026","TestUserInfo","test_user_info","",""
"","18","Can add a new item to the store","tests","Fri May 01 22:05:24 UTC 2026","passed","Fri May 01 22:05:24 UTC 2026","TestStoreItem","test_store_item","",""
"","7","Unable to create user if any of the required fields are missing","tests","Fri May 01 22:05:24 UTC 2026","passed","Fri May 01 22:05:24 UTC 2026","TestRegister","test_register","",""
