2026-05-01 22:05:23,866 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/register
2026-05-01 22:05:23,951 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/register
2026-05-01 22:05:23,954 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/auth
2026-05-01 22:05:23,961 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/auth
2026-05-01 22:05:23,985 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/item/yangdebra
2026-05-01 22:05:24,015 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/item/yangdebra
2026-05-01 22:05:24,017 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/balance/16
2026-05-01 22:05:24,032 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/balance/16
2026-05-01 22:05:24,033 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/pay/16
2026-05-01 22:05:24,043 | HTTP_CLIENT | INFO | Got response 400 BAD REQUEST from http://localhost:56733/pay/16
2026-05-01 22:05:24,044 | BASE_ASSERTIONS | INFO | Check that response status code equals to 400
2026-05-01 22:05:24,044 | PAYMENT_ASSERTIONS | INFO | Check payment with insufficient balance
2026-05-01 22:05:24,044 | BASE_ASSERTIONS | INFO | Check that "message" equals to "Not enough money. Your balance is 3.0, item cost 85.0"
2026-05-01 22:05:24,045 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
