2026-05-01 22:05:23,594 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/register
2026-05-01 22:05:23,666 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/register
2026-05-01 22:05:23,668 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/auth
2026-05-01 22:05:23,674 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/auth
2026-05-01 22:05:23,695 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/item/fcox
2026-05-01 22:05:23,719 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/item/fcox
2026-05-01 22:05:23,743 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/balance/10
2026-05-01 22:05:23,766 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/balance/10
2026-05-01 22:05:23,769 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/pay/10
2026-05-01 22:05:23,792 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/pay/10
2026-05-01 22:05:23,792 | BASE_ASSERTIONS | INFO | Check that response status code equals to 200
2026-05-01 22:05:23,793 | PAYMENT_ASSERTIONS | INFO | Check pay for item
2026-05-01 22:05:23,793 | BASE_ASSERTIONS | INFO | Check that "message" equals to "Payment was successful"
2026-05-01 22:05:23,794 | BASE_ASSERTIONS | INFO | Check that "balance" equals to "591"
2026-05-01 22:05:23,794 | BASE_ASSERTIONS | INFO | Check that "name" equals to "fcox"
2026-05-01 22:05:23,794 | BASE_ASSERTIONS | INFO | Check that "price" equals to "129"
2026-05-01 22:05:23,795 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
