2026-05-01 22:05:24,804 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/register
2026-05-01 22:05:24,920 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/register
2026-05-01 22:05:24,921 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/auth
2026-05-01 22:05:24,927 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/auth
2026-05-01 22:05:24,929 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/user_info/35
2026-05-01 22:05:24,931 | HTTP_CLIENT | INFO | Got response 401 UNAUTHORIZED from http://localhost:56733/user_info/35
2026-05-01 22:05:24,936 | BASE_ASSERTIONS | INFO | Check that response status code equals to 401
2026-05-01 22:05:24,936 | USER_INFO_ASSERTIONS | INFO | Check unauthorized error
2026-05-01 22:05:24,936 | BASE_ASSERTIONS | INFO | Check that "description" equals to "Request does not contain an access token"
2026-05-01 22:05:24,936 | BASE_ASSERTIONS | INFO | Check that "error" equals to "Authorization Required"
2026-05-01 22:05:24,937 | BASE_ASSERTIONS | INFO | Check that "status_code" equals to "401"
2026-05-01 22:05:24,937 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
