2026-05-01 22:05:25,044 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/register
2026-05-01 22:05:25,090 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/register
2026-05-01 22:05:25,091 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/auth
2026-05-01 22:05:25,102 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/auth
2026-05-01 22:05:25,104 | HTTP_CLIENT | INFO | Make PUT request to http://localhost:56733/user_info/40
2026-05-01 22:05:25,107 | HTTP_CLIENT | INFO | Got response 401 UNAUTHORIZED from http://localhost:56733/user_info/40
2026-05-01 22:05:25,108 | BASE_ASSERTIONS | INFO | Check that response status code equals to 401
2026-05-01 22:05:25,108 | USER_INFO_ASSERTIONS | INFO | Check unauthorized error
2026-05-01 22:05:25,108 | BASE_ASSERTIONS | INFO | Check that "description" equals to "Request does not contain an access token"
2026-05-01 22:05:25,108 | BASE_ASSERTIONS | INFO | Check that "error" equals to "Authorization Required"
2026-05-01 22:05:25,108 | BASE_ASSERTIONS | INFO | Check that "status_code" equals to "401"
2026-05-01 22:05:25,109 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
